region_code,region_code_type,region_code_level,parent_region_code,level_1_region_code,level_2_region_code,level_3_region_code,region_name,alt_name1,alt_name2,alt_name3,alt_name4,population_year,population
LIE,iso_3166-1,1,WORLD,LIE,None,None,Liechtenstein,Liechtenstein,,,,2020,38137
LTU,iso_3166-1,1,WORLD,LTU,None,None,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,2020,2722291
LUX,iso_3166-1,1,WORLD,LUX,None,None,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,2020,625976
MKD,iso_3166-1,1,WORLD,MKD,None,None,Macedonia,Macedonia,,,,2020,2083380
MDG,iso_3166-1,1,WORLD,MDG,None,None,Madagascar,Madagascar,,,Madagascar,2020,27691019
MWI,iso_3166-1,1,WORLD,MWI,None,None,Malawi,Malawi,,,,2020,19129955
MYS,iso_3166-1,1,WORLD,MYS,None,None,Malaysia,Malaysia,Malaysia,,Malaysia,2020,32365998
MDV,iso_3166-1,1,WORLD,MDV,None,None,Maldives,Maldives,,,,2020,540542
MLI,iso_3166-1,1,WORLD,MLI,None,None,Mali,Mali,,,,2020,20250834
MLT,iso_3166-1,1,WORLD,MLT,None,None,Malta,Malta,,Malta,,2020,441539
MRT,iso_3166-1,1,WORLD,MRT,None,None,Mauritania,Mauritania,,,,2020,4649660
MUS,iso_3166-1,1,WORLD,MUS,None,None,Mauritius,Mauritius,,,Mauritius,2020,1271767
MEX,iso_3166-1,1,WORLD,MEX,None,None,Mexico,Mexico,Mexico,,Mexico,2020,128932753
MDA,iso_3166-1,1,WORLD,MDA,None,None,Moldova,Moldova,,,,2020,4033963
MCO,iso_3166-1,1,WORLD,MCO,None,None,Monaco,Monaco,,,Monaco,2020,39244
MNG,iso_3166-1,1,WORLD,MNG,None,None,Mongolia,Mongolia,,,,2020,3278292
MNE,iso_3166-1,1,WORLD,MNE,None,None,Montenegro,Montenegro,,,,2020,628062
MSR,iso_3166-1,1,WORLD,MSR,None,None,Montserrat,Montserrat,,,,2020,4999
MAR,iso_3166-1,1,WORLD,MAR,None,None,Morocco,Morocco,Morocco,,Morocco,2020,36910558
MOZ,iso_3166-1,1,WORLD,MOZ,None,None,Mozambique,Mozambique,,,,2020,31255435
MMR,iso_3166-1,1,WORLD,MMR,None,None,Myanmar,Myanmar,,,,2020,54409794
NAM,iso_3166-1,1,WORLD,NAM,None,None,Namibia,Namibia,,,,2020,2540916
NPL,iso_3166-1,1,WORLD,NPL,None,None,Nepal,Nepal,,,Nepal,2020,10834
NLD,iso_3166-1,1,WORLD,NLD,None,None,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,2020,17134873
NCL,iso_3166-1,1,WORLD,NCL,None,None,New Caledonia,New Caledonia,,,,2020,285491
NZL,iso_3166-1,1,WORLD,NZL,None,None,New Zealand,New Zealand,New Zealand,,New Zealand,2020,4822233
NIC,iso_3166-1,1,WORLD,NIC,None,None,Nicaragua,Nicaragua,,,,2020,6624554
NER,iso_3166-1,1,WORLD,NER,None,None,Niger,Niger,,,,2020,24206636
NGA,iso_3166-1,1,WORLD,NGA,None,None,Nigeria,Nigeria,,,,2020,206139587
MNP,iso_3166-1,1,WORLD,MNP,None,None,Northern Mariana Islands,Northern Mariana Islands,,,,2020,1618
NOR,iso_3166-1,1,WORLD,NOR,None,None,Norway,Norway,Norway,Norway,Norway,2020,5421242
OMN,iso_3166-1,1,WORLD,OMN,None,None,Oman,Oman,,,,2020,5106622
PAK,iso_3166-1,1,WORLD,PAK,None,None,Pakistan,Pakistan,,,Pakistan,2020,220892331
PSE,iso_3166-1,1,WORLD,PSE,None,None,Palestine,Palestine,,,,2020,5101416
PAN,iso_3166-1,1,WORLD,PAN,None,None,Panama,Panama,,,,2020,4314768
PNG,iso_3166-1,1,WORLD,PNG,None,None,Papua New Guinea,Papua New Guinea,,,,2020,8947027
PRY,iso_3166-1,1,WORLD,PRY,None,None,Paraguay,Paraguay,,,Paraguay,2020,7132530
PER,iso_3166-1,1,WORLD,PER,None,None,Peru,Peru,,,Peru,2020,32971846
PHL,iso_3166-1,1,WORLD,PHL,None,None,Philippines,Philippines,Philippines,,,2020,109581085
POL,iso_3166-1,1,WORLD,POL,None,None,Poland,Poland,Poland,Poland,Poland,2020,37846605
PRT,iso_3166-1,1,WORLD,PRT,None,None,Portugal,Portugal,Portugal,Portugal,Portugal,2020,10196707
PRI,iso_3166-1,1,WORLD,PRI,None,None,Puerto Rico,Puerto Rico,,,Puerto Rico,2020,2860840
QAT,iso_3166-1,1,WORLD,QAT,None,None,Qatar,Qatar,,,,2020,2881060
ROU,iso_3166-1,1,WORLD,ROU,None,None,Romania,Romania,Romania,Romania,Romania,2020,19237682
RUS,iso_3166-1,1,WORLD,RUS,None,None,Russia,Russia,Russia,,,2020,145934460
RWA,iso_3166-1,1,WORLD,RWA,None,None,Rwanda,Rwanda,,,Rwanda,2020,12952209
BLM,iso_3166-1,1,WORLD,BLM,None,None,Saint Barthélemy,Saint Barthlemy,,,,2020,9885
SHN,iso_3166-1,1,WORLD,SHN,None,None,Saint Helena,Saint Helena,,,,2020,6071
KNA,iso_3166-1,1,WORLD,KNA,None,None,Saint Kitts and Nevis,Saint Kitts and Nevis,,,,2020,53192
LCA,iso_3166-1,1,WORLD,LCA,None,None,Saint Lucia,Saint Lucia,,,,2020,183629
VCT,iso_3166-1,1,WORLD,VCT,None,None,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,,2020,110947
SMR,iso_3166-1,1,WORLD,SMR,None,None,San Marino,San Marino,,,,2020,33938
STP,iso_3166-1,1,WORLD,STP,None,None,Sao Tome and Principe,Sao Tome and Principe,,,,2020,219161
