region_code,region_code_level,region_type,region_code_type,region_name,local_variant,local_language_name,alt_name_1,local_numeric_code,local_alpha_code,alt_name_2,alt_name_3,alt_name_4
BY-VI,2,oblast,iso_3166-2,Vitsyebskaya voblasts',Viciebskaja voblasć,Vitebskaya oblast',Vitebsk Region,,,,,
BZ-BZ,2,district,iso_3166-2,Belize,,,,,,,,
BZ-CY,2,district,iso_3166-2,Cayo,,,,,,,,
BZ-CZL,2,district,iso_3166-2,Corozal,,,,,,,,
BZ-OW,2,district,iso_3166-2,Orange Walk,,,,,,,,
BZ-SC,2,district,iso_3166-2,Stann Creek,,,,,,,,
BZ-TOL,2,district,iso_3166-2,Toledo,,,,,,,,
CA-AB,2,province,iso_3166-2,Alberta,Alberta,,,,,,,
CA-BC,2,province,iso_3166-2,British Columbia,Colombie-Britannique,,,,,,,
CA-MB,2,province,iso_3166-2,Manitoba,Manitoba,,,,,,,
CA-NB,2,province,iso_3166-2,New Brunswick,Nouveau-Brunswick,,,,,,,
